	Unnamed: 0	Unnamed: 0.1	Pronoun-offset	A-offset	A-coref	B-offset	B-coref	A-to-pron-chr	B-to-pron-chr	A-to-pron-tk	B-to-pron-tk	A-tk-index	B-tk-index	Pronoun-tk-index	nsubj-A	pobj-A	poss-A	appos-A	dobj-A	nsubjpass-A	nsubj-B	pobj-B	poss-B	appos-B	dobj-B	nsubjpass-B	nsubj-Pronoun	pobj-Pronoun	poss-Pronoun	appos-Pronoun	dobj-Pronoun	nsubjpass-Pronoun	Commas-A-Pron	Commas-B-Pron	Period-A-Pron	Period-B-Pron	Nouns-A-Pronoun	Nouns-B-Pronoun	A-Mentions	B-Mentions	aim_bound_A	aim_bound_B
41	41	41	491	312	1	345	0	179	146	31	25	64	70	95	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	7	5	1	1	0	0
42	42	42	337	348	0	355	1	-11	-18	-2	-4	74	76	72	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	1	0
43	43	43	450	361	0	396	1	89	54	20	12	99	107	119	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	2	1	1	0	0
44	44	44	312	245	0	261	1	67	51	12	9	53	56	65	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	2	3	1	0	0
45	45	45	301	335	0	441	0	-34	-140	-5	-30	61	86	56	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0
46	46	46	270	154	0	260	0	116	10	27	2	27	52	54	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	1	1	5	0	1	1	0	0
47	47	47	320	259	0	284	1	61	36	10	5	48	53	58	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	3	1	1	2	0	0
48	48	48	239	138	1	199	0	101	40	24	10	37	51	61	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	1	1	1	5	0	1	1	0	0
49	49	49	361	51	0	80	0	310	281	64	58	12	18	76	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	5	5	1	1	14	12	1	1	0	0
50	50	50	269	245	0	255	1	24	14	8	4	62	66	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0
51	51	51	284	247	0	270	1	37	14	5	2	51	54	56	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	3	0	0
52	52	52	166	189	0	221	1	-23	-55	-4	-10	36	42	32	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0	0
53	53	53	392	104	0	280	1	288	112	49	18	19	50	68	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	1	0	0	10	2	1	1	0	0
54	54	54	347	188	0	243	1	159	104	27	17	36	46	63	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	7	4	1	2	0	0
55	55	55	267	104	0	194	0	163	73	30	13	22	39	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	6	2	1	1	0	0
56	56	56	287	183	0	331	1	104	-44	17	-9	33	59	50	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	4	0	1	0	0	0
57	57	57	313	159	1	195	0	154	118	25	20	32	37	57	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	8	5	3	1	1	0
58	58	58	273	194	1	248	0	79	25	16	5	42	53	58	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	1	3	0	2	4	0	0
59	59	59	353	168	1	405	0	185	-52	35	-9	37	81	72	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	8	0	2	1	0	0
60	60	60	389	305	0	365	1	84	24	16	4	72	84	88	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	0	0	0	4	1	2	1	0	0
61	61	61	354	312	1	341	0	42	13	9	3	68	74	77	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	2	0	0
62	62	62	443	384	0	430	1	59	13	11	2	71	80	82	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	3	0	0
63	63	63	339	176	0	234	1	163	105	33	21	29	41	62	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	6	4	1	2	0	0
64	64	64	246	152	0	180	1	94	66	18	13	26	31	44	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	4	3	4	1	0	0
65	65	65	276	129	0	248	1	147	28	27	5	23	45	50	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	6	0	1	1	0	0
66	66	66	269	187	1	234	0	82	35	20	7	40	53	60	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	5	1	1	4	0	0
67	67	67	293	304	0	394	0	-11	-101	-3	-17	61	75	58	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	1	0	0
68	68	68	300	212	0	267	1	88	33	18	7	39	50	57	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	2	0	0	4	1	1	1	1	0
69	69	69	313	181	1	215	0	132	98	24	19	38	43	62	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	6	4	1	1	0	0
70	70	70	306	225	0	268	1	81	38	14	8	41	47	55	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	1	2	3	0	0
71	71	71	315	29	1	110	0	286	205	52	38	7	21	59	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	4	1	1	10	6	2	1	0	0
72	72	72	377	279	0	318	1	98	59	19	12	53	60	72	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	4	2	3	7	1	1
73	73	73	275	302	1	449	0	-27	-174	-6	-36	61	91	55	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	1	0	0
74	74	74	363	290	0	330	1	73	33	13	7	60	66	73	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	2	0	2	1	0	0
75	75	75	257	139	1	242	0	118	15	22	3	27	46	49	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	5	0	1	1	0	0
76	76	76	359	228	0	261	1	131	98	23	17	43	49	66	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	5	3	1	1	0	0
77	77	77	355	251	0	321	1	104	34	19	6	50	63	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	1	1	0	0	0
78	78	78	412	296	0	351	0	116	61	21	12	51	60	72	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	5	2	2	1	0	0
79	79	79	312	341	0	354	1	-29	-42	-4	-7	64	67	60	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	3	0	0
80	80	80	252	169	0	538	0	83	-286	18	-55	39	112	57	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	3	0	1	1	0	0
81	81	81	339	285	1	299	0	54	40	10	7	57	60	67	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	2	1	5	1	0	0
82	82	82	276	232	0	258	1	44	18	10	5	43	48	53	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	3	2	0	0	2	0	2	1	0	0
83	83	83	316	220	0	270	1	96	46	18	9	38	47	56	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	1	0	0	3	1	1	1	0	0
84	84	84	278	240	1	267	0	38	11	9	2	54	61	63	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	2	1	0	1
85	85	85	385	405	1	439	0	-20	-54	-4	-11	66	73	62	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0
86	86	86	302	185	1	192	0	117	110	24	22	36	38	60	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	4	3	1	2	0	0
87	87	87	261	231	1	253	0	30	8	6	2	45	49	51	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	3	0	0
88	88	88	283	296	0	323	0	-13	-40	-3	-8	57	62	54	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0
89	89	89	360	313	1	337	0	47	23	6	3	65	68	71	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	3	1	1
90	90	90	329	179	0	248	1	150	81	29	16	29	42	58	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	5	3	1	1	0	0
91	91	91	598	511	0	554	1	87	44	15	7	113	121	128	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	5	1	1	1	0	1
92	92	92	323	117	0	177	0	206	146	31	22	27	36	58	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	1	1	1	9	6	1	1	0	0
93	93	93	367	174	1	349	0	193	18	35	3	30	62	65	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	5	0	1	1	11	0	2	1	0	0
94	94	94	379	364	1	518	0	15	-139	3	-23	68	94	71	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	3	3	0	0
95	95	95	300	165	1	268	0	135	32	26	7	35	54	61	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	5	0	1	3	0	1
96	96	96	357	403	0	448	1	-46	-91	-7	-14	83	90	76	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	0	0
97	97	97	428	240	0	290	0	188	138	39	28	43	54	82	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	2	1	1	11	9	1	2	0	0
98	98	98	292	257	1	277	0	35	15	6	2	57	61	63	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	2	2	0	0
99	99	99	360	254	0	336	0	106	24	24	5	63	82	87	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	3	1	0	0	4	0	1	1	0	0
100	100	100	459	214	1	381	0	245	78	41	14	45	72	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	10	3	0	0	0	0
101	101	101	347	0	0	141	0	347	206	57	35	0	22	57	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	2	1	1	11	7	1	1	0	0
102	102	102	263	224	0	300	1	39	-37	7	-6	40	53	47	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	2	0	0
103	103	103	240	249	1	319	0	-9	-79	-3	-16	44	57	41	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0
104	104	104	254	183	1	226	0	71	28	15	7	37	45	52	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	2	2	0	0	3	1	2	1	0	0
105	105	105	305	215	1	236	0	90	69	17	13	45	49	62	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	1	0	2	3	0	1
106	106	106	241	158	1	209	0	83	32	13	5	29	37	42	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	2	0	2	2	0	0
107	107	107	263	196	0	239	1	67	24	16	5	36	47	52	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	2	0	2	2	0	0
108	108	108	288	217	1	249	0	71	39	13	9	41	45	54	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	2	0	0	3	2	2	1	0	0
109	109	109	291	172	0	231	1	119	60	20	11	34	43	54	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	1	0	0	5	2	1	2	0	0
110	110	110	79	0	1	36	0	79	43	16	10	0	6	16	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	1	5	3	1	1	0	0
111	111	111	94	0	1	239	0	94	-145	19	-26	0	45	19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	1	0	3	0	1	1	0	0
112	112	112	280	184	0	205	0	96	75	20	15	35	40	55	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	2	1	1	3	2	2	3	0	0
113	113	113	335	264	0	359	1	71	-24	12	-4	59	75	71	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	2	0	0
114	114	114	334	250	0	264	0	84	70	16	13	58	61	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	4	3	2	1	0	0
115	115	115	341	290	0	302	1	51	39	12	9	54	57	66	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	4	3	3	3	0	0
116	116	116	284	188	1	267	0	96	17	21	3	47	65	68	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	5	0	1	1	0	1
117	117	117	328	285	1	307	0	43	21	8	4	59	63	67	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	2	1	1	2	0	0
118	118	118	360	402	0	432	1	-42	-72	-11	-15	77	81	66	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	4	0	1
119	119	119	329	350	1	368	0	-21	-39	-4	-6	66	68	62	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	4	1	1	1
120	120	120	394	224	0	406	1	170	-12	31	-3	50	84	81	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	6	0	1	1	0	0
121	121	121	357	406	0	467	0	-49	-110	-9	-19	75	85	66	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0
122	122	122	457	435	0	442	0	22	15	6	4	89	91	95	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	2	1	1	2	0	0
123	123	123	383	320	1	369	0	63	14	11	3	70	78	81	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	2	0	2	2	0	0
124	124	124	300	192	0	255	1	108	45	17	8	33	42	50	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	2	1	1	1	0	0
125	125	125	446	324	0	349	1	122	97	23	18	52	57	75	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	2	2	1	6	4	1	2	0	0
126	126	126	406	219	0	305	1	187	101	35	22	44	57	79	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	1	1	1	7	5	1	3	0	0
127	127	127	249	185	0	201	1	64	48	12	9	37	40	49	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3	2	2	3	0	0
128	128	128	261	129	1	251	0	132	10	27	4	28	51	55	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	2	1	0	0	5	0	1	1	0	0
129	129	129	285	216	1	234	0	69	51	13	10	32	35	45	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	2	1	1	1	0	0
130	130	130	363	259	0	322	1	104	41	20	8	54	66	74	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	1	4	1	1	1	0	0
131	131	131	230	242	1	266	0	-12	-36	-3	-7	56	60	53	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0
132	132	132	274	186	1	237	0	88	37	17	7	36	46	53	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	3	1	2	2	0	1
133	133	133	287	196	0	250	1	91	37	19	8	41	52	60	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	3	1	3	2	0	1
134	134	134	170	215	0	229	1	-45	-59	-11	-14	45	48	34	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0
135	135	135	323	354	1	449	0	-31	-126	-7	-22	67	82	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0
136	136	136	296	183	1	261	0	113	35	34	9	33	58	67	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	6	2	1	1	0	0
137	137	137	422	307	0	388	1	115	34	19	7	61	73	80	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	1	0	0	3	0	2	2	0	0
138	138	138	357	322	1	339	0	35	18	7	4	66	69	73	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	1	3	0	1
139	139	139	331	248	0	280	1	83	51	16	11	48	53	64	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	5	2	2	1	0	0
140	140	140	396	409	1	429	0	-13	-33	-3	-6	79	82	76	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0
141	141	141	315	342	0	366	0	-27	-51	-7	-14	67	74	60	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	1	0	1
142	142	142	140	9	1	128	0	131	12	24	3	3	24	27	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	6	0	1	11	0	1
143	143	143	335	268	0	290	1	67	45	12	9	57	60	69	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	3	1	1	1	0	0
144	144	144	304	251	1	339	0	53	-35	12	-6	51	69	63	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	3	0	3	1	0	0
145	145	145	430	501	1	526	0	-71	-96	-14	-19	96	101	82	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0
146	146	146	394	298	0	359	1	96	35	16	5	50	61	66	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	3	1	1	2	0	0
147	147	147	271	225	0	262	1	46	9	9	2	43	50	52	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	2	0	3	5	0	0
148	148	148	418	318	0	401	1	100	17	17	4	59	72	76	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1	2	3	0	0
149	149	149	285	24	0	247	1	261	38	54	9	8	53	62	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	11	1	1	1	0	0
150	150	150	421	206	1	276	0	215	145	43	26	41	58	84	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	8	3	1	1	12	7	1	1	0	0
151	151	151	268	158	0	246	1	110	22	21	4	38	55	59	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	5	0	2	1	0	0
152	152	152	333	379	1	491	0	-46	-158	-9	-29	69	89	60	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0
